Speed,Voltage,Cas Latency / Timing,Capacity,DIMMs,Channel,Socket,Manufacturer,Processor,DDR,Certified Board (board rev / min BIOS),Date Added
4600MHz,1.5,19-26-26-46,16GB,2,Dual,LGA1151,Galaxy Microsystems Ltd,Core? i7-8700K,DDR4,MSI Z370I GAMING PRO CARBON AC ( 1.0 / E7B43IMS.153 ),2018.08.08
4600MHz,1.5,19-26-26-46,16GB,2,Dual,LGA1151,Galaxy Microsystems Ltd,Core? i7-8700K,DDR4,MSI Z370I GAMING PRO CARBON AC ( 1.0 / E7B43IMS.153 ),2018.07.27
4600MHz,1.5,19-26-26-46,16GB,2,Dual,LGA1151,Corsair,Core? i5-8600K,DDR4,ASUS ROG MAXIMUS X APEX ( 1.01 / 0053 ),2017.12.18
4600MHz,1.5,19-23-23-43,16GB,2,Dual,LGA2066,G-Skill,Core? i7-7740K,DDR4,AsRock X299 OC Formula ( 1.01 / L1.01 ),2017.08.30
4500MHz,1.45,19-19-19-39,16GB,2,Dual,LGA1151,Galaxy Microsystems Ltd,Core? i7-8700K,DDR4,MSI Z370I GAMING PRO CARBON AC ( 1.0 / E7B43IMS.153 ),2018.08.08
4500MHz,1.45,19-19-19-39,16GB,2,Dual,LGA1151,Galaxy Microsystems Ltd,Core? i7-8700K,DDR4,MSI Z370I GAMING PRO CARBON AC ( 1.0 / E7B43IMS.153 ),2018.07.27
4500MHz,1.5,19-23-23-43,16GB,2,Dual,LGA1151,G-Skill,Core? i5-8600K,DDR4,ASUS ROG MAXIMUS X APEX ( 1.01 / 0214 ),2017.09.25
4500MHz,1.45,19-19-19-39,16GB,2,Dual,LGA2066,Corsair,Core? i7-7740X,DDR4,ASRock X299 OC Formula ( 1.01 / L1.01 ),2017.09.25
4400MHz,1.4,19-19-19-39,16GB,2,Dual,LGA1151,Galaxy Microsystems Ltd,Core? i7-8700K,DDR4,MSI Z370I GAMING PRO CARBON AC ( 1.0 / E7B43IMS.15H ),2018.08.08
4400MHz,1.4,19-19-19-39,16GB,2,Dual,LGA2066,Corsair,Core? i7-7740X,DDR4,MSI X299 SLI PLUS ( 1.0 / 14M ),2017.09.25
4400MHz,1.4,19-19-19-39,16GB,2,Dual,LGA2066,Corsair,Core? i7-7740X,DDR4,ASRock X299 OC Formula ( 1.01 / L1.01 ),2017.09.25
4400MHz,1.4,19-19-19-39,16GB,2,Dual,LGA2066,G-Skill,Core? i7-7740K,DDR4,AsRock X299 OC Formula ( 1.00 / L0.26 ),2017.06.23
4400MHz,1.4,19-19-19-39,16GB,2,Dual,LGA2066,G-Skill,Core? i7-7700K,DDR4,Asus ROG RAMPAGE VI APEX ( 1.00 / 0063 ),2017.06.23
4333MHz,1.4,19-26-26-46,16GB,2,Dual,LGA1151,Corsair,Core? i7-8700K,DDR4,ASUS Maximus X Apex ( 1.01 / 1602 ),2018.07.27
4333MHz,1.4,19-26-26-46,16GB,2,Dual,LGA1151,Corsair,Core? i7-8700K,DDR4,MSI Z370I Gaming Pro Carbon AC ( 1.0 / 154 ),2018.07.27
4333MHz,1.4,19-26-26-46,8GB,2,Dual,LGA 1151,G-Skill,Core? i7 6700K,DDR4,ASRock Z170M OC Formula ( 1.03 / L1.31 ),2016.07.27
4266MHz,1.4,19-26-26-46,16GB,2,Dual,LGA1151,Corsair,Core? i9-9900K,DDR4,ASUS Maximus XI Gene ( 1.01T / 0506 ),2018.10.02
4266MHz,1.4,19-26-26-46,16GB,2,Dual,LGA1151,Corsair,Core? i7-8700K,DDR4,ASUS Maximus X Apex ( 1.01 / 1602 ),2018.07.27
4266MHz,1.4,19-26-26-46,16GB,2,Dual,LGA1151,Corsair,Core? i7-8700K,DDR4,Gigabyte GA-Z370N WIFI ( 1.0 / F4 ),2018.07.27
4266MHz,1.4,19-26-26-46,16GB,2,Dual,LGA1151,Corsair,Core? i7-8700K,DDR4,MSI Z370I Gaming Pro Carbon AC ( 1.0 / 154 ),2018.07.27
4266MHz,1.4,19-19-19-39,16GB,2,Dual,LGA1151,Galaxy Microsystems Ltd,Core? i7-8700K,DDR4,ASUS ROG MAXIMUS X APEX ( Rev 1.01 / 0401 x64 ),2018.07.27
4266MHz,1.4,19-26-26-46,16GB,2,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,ASUS Maximus IX APEX (1.01/0906),2017.08.18
4266MHz,1.4,19-19-19-39,16GB,2,Dual,LGA1151,G-Skill,Core? i7-7700K,DDR4,Asus MAXIMUS IX APEX ( 1.0 / 0091 ),2016.12.21
4266MHz,1.4,19-19-19-39,16GB,2,Dual,LGA1151,G-Skill,Core? i7-7700K,DDR4,Asus MAXIMUS IX APEX ( 1.0 / 0091 ),2016.12.19
4266MHz,1.4,19-23-23-43,16GB,2,Dual,LGA 1151,G-Skill,Core? i7 6700K,DDR4,Asus MAXIMUS VIII IMPACT ( 1.01 / 0035 ),2016.07.27
4200MHz,1.4,19-19-19-39,64GB,8,Quad,LGA2066,G-Skill,Core? i7-7820X,DDR4,Asus PRIME X299-DELUXE ( 1.02 / 0082 ),2017.06.23
4133MHz,1.35,19-23-23-45,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,Gigabyte Z370 AORUS Gaming 7 ( 0.3 / F7 (07/05/2018) ),2018.10.02
4133MHz,1.35,19-23-23-45,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASRock Fatal1ty Z370 Gaming K6 ( Rev 1.02 / L1.71A (05/28/2018) ) ,2018.10.02
4133MHz,1.35,19-23-23-45,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASUS MAXIMUS X APEX ( Rev 1.01 / 1602 (06/28/2018) ) ,2018.10.02
4133MHz,1.4,19-25-25-45,32GB,2,Dual,LGA1151,Corsair,Core? i7-8700K,DDR4,ASUS Maximus X Apex ( 1.01 / 1602 ),2018.07.27
4133MHz,1.4,19-25-25-45,16GB,2,Dual,LGA1151,Corsair,Core? i7-8700K,DDR4,ASUS Maximus X Apex ( 1.01 / 1602 ),2018.07.27
4133MHz,1.4,19-25-25-45,16GB,2,Dual,LGA1151,Corsair,Core? i7-8700K,DDR4,MSI Z370I Gaming Pro Carbon AC ( 1.0 / 154 ),2018.07.27
4133MHz,1.4,19-25-25-45,32GB,4,Dual,LGA1151,Corsair,Core? i5-8600K,DDR4,ASUS Maximus X Hero ( 1.01 / 1401 ),2018.07.27
4133MHz,1.35,19-21-21-41,16GB,2,Dual,LGA1151,Galaxy Microsystems Ltd,Core? i7-8700X,DDR4,ASUS MAXIMUS X APEX ( REV 1.01 / 0401 x64 ),2017.12.18
4133MHz,1.4,19-19-19-39,64GB,8,Quad,LGA2066,G-Skill,Core? i7-7820X,DDR4,Asus PRIME X299-DELUXE ( 1.02 / 0071 ),2017.06.23
4133MHz,1.35,19-19-19-39,16GB,2,Dual,LGA1151,G-Skill,Core? i7-7700K,DDR4,Asus MAXIMUS IX APEX ( 1.0 / 0091 ),2016.12.21
4133MHz,1.35,19-19-19-39,16GB,2,Dual,LGA1151,G-Skill,Core? i7-7700K,DDR4,MSI Z270I GAMING ( 1.10 / T.M3 ),2016.12.21
4133MHz,1.35,19-19-19-39,32GB,4,Dual,LGA1151,G-Skill,Core? i7-7700K,DDR4,Asus MAXIMUS IX APEX ( 1.0 / 0091 ),2016.12.19
4133MHz,1.4,19-25-25-45,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASROCK Z170 OC Formula (1.02 / P1.9 ),2016.02.19
4000MHz,1.35,19-21-21-42,16GB,2,Dual,LGA1151,Kingston,Core? i7-9700K,DDR4,MSI MEG Z390 GODLIKE ( Ver 1.20 / 1.0A (08/24/2018) ),2018.10.02
4000MHz,1.35,19-21-21-42,16GB,2,Dual,LGA1151,Kingston,Core? i7-9700K,DDR4,ASRock Z390 Taichi Ultimate ( Rev 1.03 / L1.22 (09/03/2018) ),2018.10.02
4000MHz,1.35,19-21-21-42,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASRock Fatal1ty Z370 Gaming K6 ( REV 1.02 / L3.12 (08/31/2018) ),2018.10.02
4000MHz,1.35,19-21-21-42,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASUS ROG MAXIMUS X HERO ( 1.xx / 1602 (06/28/2018) ),2018.10.02
4000MHz,1.35,19-21-21-42,16GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,Gigabyte Z370 AORUS Gaming 7 ( REV 0.3 / F6 (04/03/2018) ),2018.10.02
4000MHz,1.35,19-21-21-42,16GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,MSI Z370 GODLIKE GAMING ( Ver 2.2 / A.62 (07/05/2018) ),2018.10.02
4000MHz,1.35,19-21-21-42.,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASRock Fatal1ty Z370 Gaming K6 ( REV 1.02 / L1.71A (05/28/2018) ),2018.10.02
4000MHz,1.35,19-21-21-42.,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASUS ROG MAXIMUS X HERO ( 1.01 / 1602 (06/28/2018) ),2018.10.02
4000MHz,1.35,19-21-21-42.,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,MSI Z370 GODLIKE GAMING ( Ver 2.2 / A.60 (07/06/2018) ),2018.10.02
4000MHz,1.35,19-21-21-42.,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,Gigabyte Z370 AORUS Gaming 7 ( Rev 0.3 / F7 (07/05/2018) ),2018.10.02
4000MHz,1.35,19-23-23-45,16GB,2,Dual,LGA1151,Corsair,Core? i9-9900K,DDR4,ASUS Maximus XI Gene ( 1.01T / 0506 ),2018.10.02
4000MHz,1.35,19-23-23-45,16GB,2,Dual,LGA1151,Corsair,Core? i9-9900K,DDR4,ASUS Maximus XI Hero ( 1.00 / 0504 ),2018.10.02
4000MHz,1.35,19-23-23-45,16GB,2,Dual,LGA1151,Corsair,Core? i9-9900K,DDR4,MSI MEG Z390 ACE ( 1.0 / 1.0L ),2018.10.02
4000MHz,1.4,19-25-25-45,16GB,2,Dual,LGA1151,Galaxy Microsystems Ltd,Core? i7-8700K,DDR4,ASUS MAXIMUS X APEX ( Rev 1.xx / 0020 x64 ),2018.06.06
4000MHz,1.35,19-23-23-45,16GB,2,Dual,LGA1151,Corsair,Core? i5-8600K,DDR4,ASUS ROG MAXIMUS X HERO ( 1.01 / 0802 ),2017.12.18
4000MHz,1.35,19-23-23-45,64GB,8,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,ASUS Prime X299 Deluxe ( 1.02 / 0702 ),2017.09.25
4000MHz,1.35,19-23-23-45,64GB,8,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,Gigabyte GA-X299 Gaming 9 ( 1.0 / F6m ),2017.09.25
4000MHz,1.35,19-23-23-45,64GB,8,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,ASRock X299 Gaming K6 ( 1.03 / P1.20 ) ,2017.09.25
4000MHz,1.35,19-23-23-45,32GB,2,Dual,LGA2066,Corsair,Core? i7-7740X,DDR4,MSI X299 TOMAHAWK AC ( 1.0 / 110 ),2017.09.25
4000MHz,1.35,19-23-23-45,32GB,2,Dual,LGA2066,Corsair,Core? i7-7740X,DDR4,ASRock X299 OC Formula ( 1.01 / 0.39 ),2017.09.25
4000MHz,1.35,19-23-23-45,32GB,4,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,ASUS Maximus IX HERO ( 1.01 / 0906 ),2017.09.25
4000MHz,1.35,19-23-23-45,32GB,4,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,Gigabyte GA-Z270X-GAMING 7 ( 1.0 / F7a ),2017.09.25
4000MHz,1.35,19-23-23-45,16GB,2,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,ASUS Maximus IX APEX (1.01/0906),2017.08.18
4000MHz,1.35,19-23-23-45,16GB,2,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,ASUS Maximus IX HERO (1.01/0906),2017.08.18
4000MHz,1.35,19-23-23-45,16GB,2,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,Gigabyte GA-Z270X-GAMING 7 (1.0/F7a),2017.08.18
4000MHz,1.35,18-19-19-39,64GB,8,Quad,LGA2066,G-Skill,Core? i7-7820X,DDR4,Asus PRIME X299-DELUXE ( 1.02 / 0071 ),2017.06.23
4000MHz,1.35,18-19-19-39,32GB,4,Dual,LGA1151,G-Skill,Core? i5-7600K,DDR4,Asus MAXIMUS IX FORMULA ( 1.01 / 0603 ),2016.12.19
4000MHz,1.35,18-19-19-39,32GB,4,Dual,LGA1151,G-Skill,Core? i5-7600K,DDR4,MSI Z270 GAMING M7 ( 1.0 / 1.0C ),2016.12.19
4000MHz,1.35,18-19-19-39,32GB,4,Dual,LGA1151,G-Skill,Core? i5-7600K,DDR4,Gigabyte Z270X-GAMING 7 ( 1.0 / F4f ),2016.12.19
4000MHz,1.35,19-23-23-45,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASROCK Z170 OC Formula (1.02 / P1.50 ),2015.11.11
4000MHz,1.4,19-25-25-45,8GB,2,Dual,LGA1151,G.SKILL,Core? i5 6600K,DDR4,ASROCK Z170 OC FORMULA (1.00/L0.09),2015.08.05
3866MHz,1.35,18-19-19-39,16GB,2,Dual,LGA1151,Galaxy Microsystems Ltd,Core? i7-8700K,DDR4,ASUS MAXIMUS X APEX ( REV 1.01 /1003 x64 ),2018.06.06
3866MHz,1.35,18-22-22-40,32GB,4,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,ASUS Maximus IX HERO ( 1.01 / 0906 ),2017.09.25
3866MHz,1.35,18-18-18-38,32GB,2,Dual,LGA1151,G-Skill,Core? i5-7600K,DDR4,Asus MAXIMUS IX APEX ( 1.0 / 0040 ),2016.12.21
3866MHz,1.35,18-19-19-39,32GB,4,Dual,LGA1151,G-Skill,Core? i5-7600K,DDR4,Asus MAXIMUS IX HERO ( 1.01 / 0222 ),2016.12.19
3866MHz,1.35,18-19-19-39,32GB,4,Dual,LGA1151,G-Skill,Core? i5-7600K,DDR4,MSI Z270 GAMING M7 ( 1.0 / 1.0C ),2016.12.19
3866MHz,1.35,18-19-19-39,32GB,4,Dual,LGA1151,G-Skill,Core? i5-7600K,DDR4,Gigabyte Z270X-GAMING 7 ( 1.0 / F4f ),2016.12.19
3866MHz,1.35,18-22-22-40,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS Z170 DELUXE ( 1.03/1402 ),2016.02.19
3866MHz,1.35,18-22-22-40,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS MAXIMUS VIII Hero ( 1.01/1402 ),2016.02.19
3866MHz,1.35,18-22-22-40,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,Gibabyte GA-Z170X_Gaming G1 ( 1.0/F7d ),2016.02.19
3866MHz,1.35,18-22-22-40,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASROCK Z170 OC Formula (1.02 / P1.9 ),2016.02.19
3733MHz,1.35,17-19-19-39,32GB,4,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,ASUS Prime X299 Deluxe ( 1.02 / 0702 ),2017.09.25
3733MHz,1.35,17-19-19-39,32GB,4,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,MSI X299 Tomahawk AC ( 1.0 / 1.3M ),2017.09.25
3733MHz,1.35,17-19-19-39,32GB,4,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,Gigabyte GA-X299 Gaming 9 ( 1.0 / F6m ),2017.09.25
3733MHz,1.35,17-19-19-39,32GB,4,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,ASRock X299 Gaming K6 ( 1.03 / P1.20 ),2017.09.25
3733MHz,1.35,17-19-19-39,32GB,4,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,ASUS Maximus IX HERO ( 1.01 / 0906 ),2017.09.25
3733MHz,1.35,17-19-19-39,32GB,4,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,MSI Z270 Gaming M7 ( 1.0 / 1.40 ),2017.09.25
3733MHz,1.35,17-19-19-39,16GB,2,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,ASUS Maximus IX APEX (1.01/0906),2017.08.18
3733MHz,1.35,17-19-19-39,16GB,2,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,ASUS Maximus IX HERO (1.01/0906),2017.08.18
3733MHz,1.35,17-19-19-39,16GB,2,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,Gigabyte GA-Z270X-GAMING 7 (1.0/F7a),2017.08.18
3733MHz,1.35,17-19-19-39,16GB,4,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS Z170 DELUXE ( 1.03/1402 ),2016.02.19
3733MHz,1.35,17-19-19-39,16GB,4,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS MAXIMUS VIII Hero ( 1.01/1402 ),2016.02.19
3733MHz,1.35,17-19-19-39,16GB,4,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,Gibabyte GA-Z170X_Gaming G1 ( 1.0/F7d ),2016.02.19
3600MHz,1.35,17-19-19-39,64GB,4,Quad,LGA2066,Kingston,Core? i9-7940X,DDR4,ASRock Fatal1ty X299 Gaming K6 ( Rev 1.03 / P1.60 02/27/2018 ),2018.10.02
3600MHz,1.35,17-19-19-39,32GB,2,Dual,LGA1151,Kingston,Core? i7-9700K,DDR4,ASUS ROG MAXIMUS XI HERO ( Rev 1.00 / 0504 ),2018.10.02
3600MHz,1.35,17-19-19-39,32GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,Gigabyte Z370 AORUS Gaming 7 ( Rev 0.3 / F6 04/03/2018 ),2018.10.02
3600MHz,1.35,17-18-18-39,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASRock Fatal1ty Z370 Gaming K6 ( REV 1.02 / L1.71A (05/28/2018) ),2018.10.02
3600MHz,1.35,17-18-18-39,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASUS MAXIMUS X APEX ( 1.01 / 1602  (06/28/2018) ),2018.10.02
3600MHz,1.35,17-18-18-39,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,MSI Z370 GODLIKE GAMING ( Ver 2.2 / A.60 (07/06/2018) ),2018.10.02
3600MHz,1.35,17-18-18-39,16GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,Gigabyte Z370 AORUS Gaming 7 ( Rev 0.3 / F6 (04/03/2018) ),2018.10.02
3600MHz,1.35,18-19-19-39,16GB,2,Dual,LGA1151,Corsair,Core? i9-9900K,DDR4,ASUS Maximus XI Hero ( 1.00 / 0504 ),2018.10.02
3600MHz,1.35,18-19-19-39,16GB,2,Dual,LGA1151,Corsair,Core? i9-9900K,DDR4,MSI MEG Z390 ACE ( 1.0 / 1.0L ),2018.10.02
3600MHz,1.35,18-19-19-39,16GB,2,Dual,LGA1151,Corsair,Core? i9-9900K,DDR4,Gigabyte Z390 AORUS MASTER ( 1.0 / F5b ),2018.10.02
3600MHz,1.35,18-19-19-39,32GB,4,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,ASUS Prime X299 Deluxe ( 1.02 / 1401 ),2018.07.27
3600MHz,1.35,18-19-19-39,32GB,4,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,MSI X299 TOMAHAWK AC ( 1.0 / 180 ),2018.07.27
3600MHz,1.35,18-19-19-39,32GB,4,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,Gigabyte GA-X299 AORUS Gaming 7 ( 1.0 / F9f ),2018.07.27
3600MHz,1.35,18-19-19-39,32GB,4,Dual,LGA1151,Corsair,Core? i5-8600K,DDR4,ASUS Maximus X Hero ( 1.01 / 1401 ),2018.07.27
3600MHz,1.35,18-19-19-39,32GB,4,Dual,LGA1151,Corsair,Core? i5-8600K,DDR4,Gigabyte GA-Z370 AORUS Gaming 7 ( 1.0 / F6 ),2018.07.27
3600MHz,1.35,18-19-19-39,32GB,4,Dual,LGA1151,Corsair,Core? i5-8600K,DDR4,MSI Z370M Gaming Pro AC ( 1.1 / 140 ),2018.07.27
3600MHz,1.35,17-18-18-38,16GB,2,Dual,LGA1151,Galaxy Microsystems Ltd,Core? i7-8700K,DDR4,ASUS MAXIMUS X APEX ( REV 1.01 / 0020 x64 ),2018.06.06
3600MHz,1.35,17-18-18-39,32GB,4,Quad,LGA2066,Kingston,Core? i9-7980XE,DDR4,MSI X299 TOMAHAWK AC (MS-7805) ( 1.0 / 1.5 ),2017.12.18
3600MHz,1.35,17-18-18-39,32GB,4,Quad,LGA2066,Kingston,Core? i9-7940X,DDR4,ASRock Fatal1ty X299 Gaming K6 ( / L1.03A 08/15/2017 ),2017.12.18
3600MHz,1.35,17-18-18-39,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,MSI Z370 GAMING PRO CARBON AC ( 2.0 / A.13 ),2017.10.17
3600MHz,1.35,17-18-18-39,16GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,ASUS ROG STRIX Z370-H GAMING ( 1.xx / 0034 ),2017.10.17
3600MHz,1.35,17-18-18-39,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASRock Fatal1ty Z370 Gaming K6 ( / L1.01B ),2017.10.10
3600MHz,1.35,17-18-18-39,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,GIGABYTE Z370 AORUS Gaming 7 ( / F3c 09/13/2017 ),2017.10.10
3600MHz,1.35,17-18-18-39,16GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,ASUS ROG MAXIMUS X HERO ( Rev 1.xx / 0213 ),2017.10.10
3600MHz,1.35,17-18-18-39,16GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,MSI Z370 GODLIKE GAMING (MS-7A98) ( / A.0E 08/29/2017 ),2017.10.10
3600MHz,1.35,17-19-19-39,64GB,4,Dual,LGA1151,G-Skill,Core? i7-8700K,DDR4,ASRock Z370 Taichi ( 1.2 / L1.01A ),2017.09.25
3600MHz,1.35,17-19-19-39,64GB,4,Dual,LGA1151,G-Skill,Core? i7-8700K,DDR4,GIGABYTE Z370 AORUS Gaming 7 ( 1.0 / F3c ),2017.09.25
3600MHz,1.35,17-19-19-39,64GB,4,Dual,LGA1151,G-Skill,Core? i7-8700K,DDR4,ASUS ROG MAXIMUS X HERO ( 1.01 / 0056 ),2017.09.25
3600MHz,1.35,16-16-16-36,16GB,2,Dual,LGA1151,G-Skill,Core? i7-8700K,DDR4,MSI Z370 SLI PLUS ( 1.1 / 1.07 ),2017.09.25
3600MHz,1.35,16-16-16-36,16GB,2,Dual,LGA1151,G-Skill,Core? i7-8700K,DDR4,ASRock Z370 Taichi ( 1.2 / L1.01A ),2017.09.25
3600MHz,1.35,16-16-16-36,16GB,2,Dual,LGA1151,G-Skill,Core? i7-8700K,DDR4,GIGABYTE Z370 AORUS Gaming 7 ( 1.0 / F3c ),2017.09.25
3600MHz,1.35,16-16-16-36,16GB,2,Dual,LGA1151,G-Skill,Core? i7-8700K,DDR4,ASUS ROG MAXIMUS X HERO ( 1.01 / 0056 ),2017.09.25
3600MHz,1.35,18-19-19-39,64GB,8,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,ASUS Prime X299 Deluxe ( 1.02 / 0702 ),2017.09.25
3600MHz,1.35,18-19-19-39,64GB,8,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,Gigabyte GA-X299 Gaming 9 ( 1.0 / F6m ),2017.09.25
3600MHz,1.35,18-19-19-39,64GB,8,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,ASRock X299 Gaming K6 ( 1.03 / P1.20 ) ,2017.09.25
3600MHz,1.35,18-19-19-39,64GB,4,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,ASUS Maximus IX HERO ( 1.01 / 0906 ),2017.09.25
3600MHz,1.35,18-19-19-39,64GB,4,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,MSI Z270 Gaming M7 ( 1.0 / 1.40 ),2017.09.25
3600MHz,1.35,17-18-18-39,32GB,4,Quad,LGA2066,Kingston,Core? i7-7820X,DDR4,ASROCK X299 GAMING K6 ( 1.03 / L0.14 ),2017.08.11
3600MHz,1.35,17-18-18-39,32GB,4,Quad,LGA2066,Kingston,Core? i7-7820X,DDR4,ASUS X299 PRIME DELUXE ( 1.02 / 0402 ),2017.08.11
3600MHz,1.35,17-18-18-39,32GB,4,Quad,LGA2066,Kingston,Core? i7-7820X,DDR4,GIGABYTE X299 AORUS GAMING9 ( 1.0 / F2j ),2017.08.11
3600MHz,1.35,17-19-19-39,128GB,8,Quad,LGA2066,G-Skill,Core? i9-7900X,DDR4,Asus PRIME X299-DELUXE ( 1.02 / 0071 ),2017.06.23
3600MHz,1.35,17-19-19-39,128GB,8,Quad,LGA2066,G-Skill,Core? i9-7900X,DDR4,MSI X299 GAMING PRO CARBON AC ( 1.0 / 1.0T ),2017.06.23
3600MHz,1.35,16-16-16-36,64GB,8,Quad,LGA2066,G-Skill,Core? i9-7900X,DDR4,Asus PRIME X299-DELUXE ( 1.02 / 0071 ),2017.06.23
3600MHz,1.35,16-16-16-36,64GB,8,Quad,LGA2066,G-Skill,Core? i9-7900X,DDR4,AsRock X299 Taichi ( 1.06 / L1.01N ),2017.06.23
3600MHz,1.35,16-16-16-36,64GB,8,Quad,LGA2066,G-Skill,Core? i9-7900X,DDR4,MSI X299 GAMING PRO CARBON AC ( 1.0 / 1.0T ),2017.06.23
3600MHz,1.35,16-16-16-36,64GB,8,Quad,LGA2066,G-Skill,Core? i9-7900X,DDR4,Gigabyte X299 AORUS Gaming 7 ( 1.0 / F6f ),2017.06.23
3600MHz,1.35,17-19-19-39,64GB,4,Dual,LGA1151,G-Skill,Core? i5-7600K,DDR4,Asus MAXIMUS IX HERO ( 1.01 / 0222 ),2016.12.19
3600MHz,1.35,17-19-19-39,64GB,4,Dual,LGA1151,G-Skill,Core? i5-7600K,DDR4,MSI Z270 GAMING M7 ( 1.0 / 1.0C ),2016.12.19
3600MHz,1.35,17-19-19-39,64GB,4,Dual,LGA1151,G-Skill,Core? i5-7600K,DDR4,MSI Z270 XPOWER GAMING TITANIUM ( 1.0 / 1.0I ),2016.12.19
3600MHz,1.35,17-19-19-39,64GB,4,Dual,LGA1151,G-Skill,Core? i5-7600K,DDR4,Gigabyte Z270X-GAMING 7 ( 1.0 / F4f ),2016.12.19
3600MHz,1.35,18-19-19-39,16GB,4,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS MAXIMUS VII Hero ( 1.01/0802 ),2015.10.13
3600MHz,1.35,18-19-19-39,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASROCK Z170 OC Formula ( 1.02/P1.40 ),2015.10.02
3600MHz,1.35,18-19-19-39,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS MAXIMUS VII Hero ( 1.01/0802 ),2015.10.02
3600MHz,1.35,18-19-19-39,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASROCK Z170 OC Formula ( 1.02/P1.40 ),2015.10.02
3600MHz,1.35,18-19-19-39,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS MAXIMUS VII Hero ( 1.01/0802 ),2015.10.02
3466MHz,1.35,16-18-18-36,64GB,4,Dual,LGA1151,Corsair,Core? i5-8600K,DDR4,ASUS ROG MAXIMUS X HERO ( 1.01 / 0802 ),2017.12.18
